"filename", "language", "C++", "CMake", "YAML", "Dart", "Markdown", "Swift", "JSON", "XML", "Gradle", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\flutter\generated_plugins.cmake", "CMake", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\aliba\Desktop\saranel\saranel_application\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\aliba\Desktop\saranel\saranel_application\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\aliba\Desktop\saranel\saranel_application\pubspec.yaml", "YAML", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 58, 18, 110
"c:\Users\aliba\Desktop\saranel\saranel_application\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\aliba\Desktop\saranel\saranel_application\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 16, 6, 60
"c:\Users\aliba\Desktop\saranel\saranel_application\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 1, 36
"c:\Users\aliba\Desktop\saranel\saranel_application\windows\flutter\generated_plugin_registrant.cc", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 21
